file,plate,mjd,fiberid,ra,dec,redshift,obj_class,n_pixels,wl_min_A,wl_max_A,flux_mean,slope,band_depth,variability,curvature,s_remote_hint
spec-0266-51602-0001.fits,,,,,,,,3835,3806.3,9202.4,80.7320,0.014969,0.4902,0.2502,3.547484,0.8133
spec-0266-51602-0002.fits,,,,,,,,3835,3806.3,9202.4,6.0025,0.002022,3.1157,0.4947,2.355601,1.0000
spec-0267-51608-0001.fits,,,,,,,,3829,3815.0,9210.9,8.0828,-0.000520,6.9514,0.4105,2.398675,1.0000
spec-0267-51608-0002.fits,,,,,,,,3830,3814.2,9210.9,8.2377,0.002712,5.9587,0.4656,2.334923,1.0000
spec-0267-51608-0003.fits,,,,,,,,3830,3814.2,9210.9,23.3358,0.005462,2.9392,0.3155,2.678280,1.0000
spec-0268-51633-0001.fits,,,,,,,,3832,3814.2,9215.1,9.2167,-0.002065,2.5319,1.0826,3.036442,1.0000
spec-0268-51633-0002.fits,,,,,,,,3833,3813.3,9215.1,9.1192,-0.001432,2.3237,0.3506,2.433855,1.0000
